"","Variable","Model","df","AIC"
"m1.photo.abs","-","UV-only: Treatment with by-factor smooth",7.3395755787931,76.0417926157215
"m2.photo.abs","-","UV-only: Treatment with global smooth",6.20534912409131,105.73504496256
"m3.photo.abs","-","UV-only: global smooth",5.10806180309476,106.887360304302
"m1.microbe.perc","-","Microbes-only: Treatment with by-factor smooth",7.21280937351925,206.266207673305
"m2.microbe.perc","-","Microbes-only: Treatment with global smooth",5.46301800818121,202.807235570714
"m3.microbe.perc","-","Microbes-only: global smooth",4.4613213160933,201.966886661522
"m1.total.perc","-","UV and microbes: Treatment with by-factor smooth",7.76149193678764,199.909201096669
"m2.total.perc","-","UV and microbes: Treatment with global smooth",5.63462795905592,196.138868823041
"m3.total.perc","-","UV and microbes: global smooth",4.645228894081,194.634664741846
